epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro,br,br443,qc_rango,qc_turbidez,qc_temp,valido,clase,clase443,clase_qc,zona,CP1,CP2,grupo2,grupo3,grupo4
Seca,2021,Seca 2021,E01,SC-21-0101,28.3,20.2,4.0,2.0952325767871187,2.0938023981864906,,0.2871105359740277,0.2869145580434083,0.146986608328704,0.1370303894445408,0.1454076123121231,0.6680616973231421,0.1394773700970349,0.3809511613491144,0.002446980652494,2.0952325767871187,1.973174261520332,2.0952325767871187,2.0938023981864906,True,True,True,True,Micro,Micro,Micro,Alta influencia,0.5701847542700043,-0.3272192908854619,2,3,3
Seca,2021,Seca 2021,E03,SC-21-0109,28.4,15.6,9.54,2.1947891189192674,3.0620458809780486,,0.258494133127538,0.360636422322852,0.1173839630878989,0.117776296091181,0.1188841534008711,1.2526622853463254,0.1177774239751909,0.9941681522187874,1.1278840099288372e-06,2.1947891189192674,3.033511296554426,2.1947891189192674,3.0620458809780486,True,True,True,True,Micro,Pico,Micro,Alta influencia,-0.16662923336517066,-0.9043792802086982,2,3,3
Seca,2021,Seca 2021,E05,SC-21-0115,30.3,7.1,31.4,4.206259039630392,4.780358683426786,,1.012607701095943,1.1508154802715564,0.2687482995794115,0.2407383120144026,0.2383111098230524,4.123014699611857,0.2407384913617984,3.110406998515914,1.7934739583373908e-07,4.206259039630392,4.829046707583395,4.206259039630392,4.780358683426786,True,True,True,True,Pico,Pico,Pico,Alta influencia,-1.226114505360023,-2.9925571811627996,2,2,2
Seca,2021,Seca 2021,E06,SC-21-0119,29.5,22.4,6.61,3.13669565256827,3.107903139544982,,0.5087446756297649,0.5040747811544737,0.1547855939716861,0.1621912776947976,0.1697254072650265,0.8775248193160098,0.1722119828596439,0.3687801436862449,0.0100207051648462,3.13669565256827,2.9699429759939235,3.13669565256827,3.107903139544982,True,True,True,True,Pico,Pico,Pico,Alta influencia,0.5962726302324568,-1.1297611513990777,2,3,3
Seca,2021,Seca 2021,E11,SC-21-0124,28.6,28.1,3.84,1.904671681336338,1.716456643666585,,0.3009308770876591,0.2711936174213072,0.1602945300358067,0.1579961943239071,0.1582665951150063,0.5297493467994194,0.1653090090051976,0.2288184697117603,0.0073128146812904,1.904671681336338,1.7135240524018422,1.904671681336338,1.716456643666585,True,True,True,True,Micro,Micro,Micro,Baja influencia,1.1227368295642206,0.15727655813478134,1,1,1
Seca,2021,Seca 2021,E12,SC-21-0128,28.2,31.5,1.11,1.988756867534036,1.802999779922932,,0.2607577139056609,0.2364019998925621,0.1213350511657096,0.1311159338592193,0.1250086814545356,0.4787810826070506,0.1359592543232325,0.2180233687013897,0.0048433204640131,1.988756867534036,1.891084660216491,1.988756867534036,1.802999779922932,True,True,True,True,Micro,Micro,Micro,Baja influencia,2.078341520493036,0.60803891110762,1,1,1
Seca,2021,Seca 2021,E13,SC-21-0132,28.3,31.8,2.31,2.587018052395122,2.4629272237319544,,0.2361538868678997,0.2248263541951629,0.0873272543252535,0.0912842052452099,0.089280638223817,0.3812022382029648,0.0946672396366144,0.145048351335065,0.0033830343914044,2.587018052395122,2.5181983313285383,2.587018052395122,2.4629272237319544,True,True,True,True,Nano,Micro,Nano,Baja influencia,2.069938002354276,-0.2671238777155499,1,1,1
Seca,2021,Seca 2021,E24,SC-21-0164,30.7,22.1,5.57,2.3350022570369884,2.2633018682297767,,0.6286801289170834,0.6093753896848726,0.2694594438010481,0.2692417649800689,0.2608505182236815,1.0812857775644955,0.2795710414967116,0.4526056486474124,0.0103292765166426,2.3350022570369884,2.3361095612711344,2.3350022570369884,2.2633018682297767,True,True,True,True,Micro,Micro,Micro,Alta influencia,-0.18785409176170106,0.08798193127606446,2,3,3
Seca,2021,Seca 2021,E27_5m,SC-21-0166,28.9,33.8,0.74,4.251015976664504,4.15260238654943,,0.5566811808373238,0.543793674919577,0.1300723508591561,0.130952502623647,0.1236155076060969,0.7034046274735453,0.135837718862507,0.1467234466362214,0.00488521623886,4.251015976664504,4.399073267185742,4.251015976664504,4.15260238654943,True,True,True,True,Pico,Pico,Pico,Baja influencia,3.1754286653604087,-1.0986612183188236,1,1,1
Seca,2021,Seca 2021,E28,SC-21-0167,30.3,24.8,3.84,2.108503731484168,1.953712947566777,,0.4660422790084838,0.4318288941189099,0.226255859372652,0.2210298573578707,0.223373238225077,0.8508976263034486,0.2308617585138373,0.3848553472949647,0.0098319011559666,2.108503731484168,1.933216787965384,2.108503731484168,1.953712947566777,True,True,True,True,Micro,Micro,Micro,Alta influencia,0.2513922385728611,0.416641322514706,2,3,3
