epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro
Seca,2021,Seca 2021,E01,SC-21-0101,28.3,20.2,4.0,2.0952325767871187,2.0938023981864906,,0.2871105359740277,0.2869145580434083,0.146986608328704,0.13703038944454082,0.14540761231212318,0.6680616973231421,0.13947737009703493,0.38095116134911444,0.0024469806524940944,2.0952325767871187,1.9731742615203316
Seca,2021,Seca 2021,E02,SC-21-0104,,,,2.579369714119828,2.4746219874960107,,0.17160817694063063,0.1646392006414254,0.07478745985393644,0.06653105059008162,0.07459926460947276,0.2795283283989936,0.06989277647684232,0.10792015145836298,0.0033617258867607055,2.579369714119828,2.206981550063688
Seca,2021,Seca 2021,E03,SC-21-0109,28.4,15.6,9.54,2.1947891189192674,3.0620458809780486,,0.258494133127538,0.360636422322852,0.11738396308789896,0.11777629609118105,0.11888415340087115,1.2526622853463254,0.11777742397519098,0.9941681522187874,1.1278840099288372e-06,2.1947891189192674,3.0335112965544266
Seca,2021,Seca 2021,E04,SC-21-0113,38.7,0.3,242.0,9.520121915647193,9.201670530164284,,18.50163013140477,17.882744175821117,2.273893539017436,1.943423655215554,2.426739094836457,21.369417278051838,2.004057266237198,2.867787146647067,0.06063361102164419,9.520121915647193,7.369042767667726
Seca,2021,Seca 2021,E05,SC-21-0115,30.3,7.1,31.4,4.206259039630392,4.780358683426786,,1.0126077010959427,1.1508154802715564,0.2687482995794115,0.2407383120144026,0.23831110982305248,4.123014699611857,0.24073849136179842,3.110406998515914,1.7934739583373906e-07,4.206259039630392,4.829046707583395
Seca,2021,Seca 2021,E06,SC-21-0119,29.5,22.4,6.61,3.13669565256827,3.107903139544982,,0.5087446756297649,0.5040747811544737,0.15478559397168618,0.16219127769479766,0.16972540726502655,0.8775248193160098,0.17221198285964395,0.3687801436862449,0.010020705164846287,3.13669565256827,2.9699429759939235
Seca,2021,Seca 2021,E11,SC-21-0124,28.6,28.1,3.84,1.904671681336338,1.7164566436665847,,0.3009308770876591,0.2711936174213072,0.16029453003580676,0.15799619432390719,0.1582665951150063,0.5297493467994194,0.16530900900519763,0.22881846971176034,0.007312814681290453,1.904671681336338,1.7135240524018422
Seca,2021,Seca 2021,E12,SC-21-0128,28.2,31.5,1.11,1.9887568675340361,1.8029997799229316,,0.2607577139056609,0.2364019998925621,0.12133505116570964,0.13111593385921932,0.12500868145453564,0.47878108260705066,0.1359592543232325,0.21802336870138977,0.004843320464013186,1.9887568675340361,1.891084660216491
Seca,2021,Seca 2021,E13,SC-21-0132,28.3,31.8,2.31,2.587018052395122,2.4629272237319544,,0.2361538868678997,0.22482635419516295,0.0873272543252535,0.09128420524520998,0.08928063822381703,0.3812022382029648,0.09466723963661447,0.14504835133506508,0.003383034391404479,2.587018052395122,2.5181983313285383
Seca,2021,Seca 2021,E14,SC-21-0136,,30.9,4.62,2.8673437066025036,2.468280433962837,,0.4082949528116877,0.35147040133008256,0.1537158519939918,0.14239484156417148,0.13421442110687432,0.9585859010794863,0.14469833724076478,0.5502909482677986,0.0023034956765933044,2.8673437066025036,2.6187230733589226
Seca,2021,Seca 2021,E08,SC-21-0140,,23.2,8.26,1.498347430124317,1.447556078280465,,0.6343325463481737,0.61282978477244,0.44527976754768916,0.42335477980266806,0.4247270994669385,2.0656298798513357,0.4233906748045566,1.431297333503162,3.589500188856879e-05,1.498347430124317,1.442878934594904
Seca,2021,Seca 2021,E43,SC-21-0148,29.3,33.9,6.73,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E41,SC-21-0152,29.5,34.6,3.55,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E39,SC-21-0154,28.9,34.1,3.3,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E37,SC-21-0156,29.2,33.9,1.03,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E35,SC-21-0158,29.6,22.0,2.64,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E34,SC-21-0159,29.7,20.0,6.61,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E33,SC-21-0160,30.1,19.9,6.23,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E32,SC-21-0161,30.1,19.1,7.84,,,#DIV/0!,,,,,,,,,,,
Seca,2021,Seca 2021,E27,SC-21-0163,29.2,18.9,2.56,0.6668669363849512,0.868313735863186,,0.2727151640783245,0.3550968117134192,0.3891317578655211,0.4089498956968812,0.40128892424316065,1.6079691542710786,0.40895302343045264,1.335253990192754,3.1277335714286563e-06,0.6668669363849512,0.8848906367977618
Seca,2021,Seca 2021,E24,SC-21-0164,30.7,22.1,5.57,2.3350022570369884,2.2633018682297767,,0.6286801289170834,0.6093753896848726,0.26945944380104814,0.26924176498006896,0.2608505182236815,1.0812857775644957,0.27957104149671164,0.4526056486474124,0.010329276516642647,2.3350022570369884,2.3361095612711344
Seca,2021,Seca 2021,E25,SC-21-0165,31.0,21.1,4.09,0.7153817111420399,1.0793157217364868,,0.20892219295442627,0.31520655890880644,0.2936358562392485,0.29204296070261787,0.2876867688999325,1.2550145371353147,0.2920445133651342,1.0460923441808885,1.5526625163515445e-06,0.7153817111420399,1.095658865766073
Seca,2021,Seca 2021,E27_5m,SC-21-0166,28.9,33.8,0.74,4.251015976664504,4.15260238654943,,0.5566811808373238,0.543793674919577,0.13007235085915614,0.130952502623647,0.12361550760609696,0.7034046274735453,0.135837718862507,0.14672344663622147,0.0048852162388600155,4.251015976664504,4.399073267185742
