estacion,scdom
SC-21-0101,0.01778
SC-21-0104,0.01794
SC-21-0109,0.01782
SC-21-0113,0.0187
SC-21-0115,0.01813
SC-21-0119,0.01777
SC-21-0124,0.01774
SC-21-0128,0.01865
SC-21-0132,0.01684
SC-21-0136,0.01748
SC-21-0140,0.01759
SC-21-0148,0.01653
SC-21-0152,0.0165
SC-21-0154,0.01654
SC-21-0156,0.01383
SC-21-0158,0.01811
SC-21-0159,0.01833
SC-21-0160,0.01854
SC-21-0161,0.01824
SC-21-0163,0.01824
SC-21-0164,0.01803
SC-21-0165,0.01791
SC-21-0166,0.01743
SC-21-0167,0.01842
SC-21-0168,0.01721
SC-21-0169,0.01865
SC-21-0170,0.01757
SC-21-0171,0.01698
SC-21-0172,0.01698
SC-21-0225,0.01824
SC-21-0228,0.01808
SC-21-0231,0.01821
