epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro,br,br443,qc_rango,qc_turbidez,qc_temp,valido,clase,clase443,clase_qc,zona,chl,aphy440x,aphy_esp
Seca,2021,Seca 2021,E01,SC-21-0101,28.3,20.2,4.0,2.0952325767871187,2.0938023981864906,,0.2871105359740277,0.2869145580434083,0.146986608328704,0.1370303894445408,0.1454076123121231,0.6680616973231421,0.1394773700970349,0.3809511613491144,0.002446980652494,2.0952325767871187,1.973174261520332,2.0952325767871187,2.0938023981864906,True,True,True,True,Micro,Micro,Micro,Alta influencia,2.3361,0.2871105359740277,0.12290164632251517
Seca,2021,Seca 2021,E03,SC-21-0109,28.4,15.6,9.54,2.1947891189192674,3.0620458809780486,,0.258494133127538,0.360636422322852,0.1173839630878989,0.117776296091181,0.1188841534008711,1.2526622853463254,0.1177774239751909,0.9941681522187874,1.1278840099288372e-06,2.1947891189192674,3.033511296554426,2.1947891189192674,3.0620458809780486,True,True,True,True,Micro,Pico,Micro,Alta influencia,2.1261,0.258494133127538,0.12158136170807488
Seca,2021,Seca 2021,E05,SC-21-0115,30.3,7.1,31.4,4.206259039630392,4.780358683426786,,1.012607701095943,1.1508154802715564,0.2687482995794115,0.2407383120144026,0.2383111098230524,4.123014699611857,0.2407384913617984,3.110406998515914,1.7934739583373908e-07,4.206259039630392,4.829046707583395,4.206259039630392,4.780358683426786,True,True,True,True,Pico,Pico,Pico,Alta influencia,3.0243,1.0126077010959427,0.3348238273636685
Seca,2021,Seca 2021,E06,SC-21-0119,29.5,22.4,6.61,3.13669565256827,3.107903139544982,,0.5087446756297649,0.5040747811544737,0.1547855939716861,0.1621912776947976,0.1697254072650265,0.8775248193160098,0.1722119828596439,0.3687801436862449,0.0100207051648462,3.13669565256827,2.9699429759939235,3.13669565256827,3.107903139544982,True,True,True,True,Pico,Pico,Pico,Alta influencia,5.5122,0.5087446756297649,0.09229430638034992
Seca,2021,Seca 2021,E11,SC-21-0124,28.6,28.1,3.84,1.904671681336338,1.716456643666585,,0.3009308770876591,0.2711936174213072,0.1602945300358067,0.1579961943239071,0.1582665951150063,0.5297493467994194,0.1653090090051976,0.2288184697117603,0.0073128146812904,1.904671681336338,1.7135240524018422,1.904671681336338,1.716456643666585,True,True,True,True,Micro,Micro,Micro,Baja influencia,4.9193,0.3009308770876591,0.06117351596521031
Seca,2021,Seca 2021,E12,SC-21-0128,28.2,31.5,1.11,1.988756867534036,1.802999779922932,,0.2607577139056609,0.2364019998925621,0.1213350511657096,0.1311159338592193,0.1250086814545356,0.4787810826070506,0.1359592543232325,0.2180233687013897,0.0048433204640131,1.988756867534036,1.891084660216491,1.988756867534036,1.802999779922932,True,True,True,True,Micro,Micro,Micro,Baja influencia,3.3152,0.2607577139056609,0.0786551984512732
Seca,2021,Seca 2021,E13,SC-21-0132,28.3,31.8,2.31,2.587018052395122,2.4629272237319544,,0.2361538868678997,0.2248263541951629,0.0873272543252535,0.0912842052452099,0.089280638223817,0.3812022382029648,0.0946672396366144,0.145048351335065,0.0033830343914044,2.587018052395122,2.5181983313285383,2.587018052395122,2.4629272237319544,True,True,True,True,Nano,Micro,Nano,Baja influencia,2.803,0.2361538868678997,0.08425040558968952
Seca,2021,Seca 2021,E14,SC-21-0136,,30.9,4.62,2.867343706602504,2.468280433962837,,0.4082949528116877,0.3514704013300825,0.1537158519939918,0.1423948415641714,0.1342144211068743,0.9585859010794864,0.1446983372407647,0.5502909482677986,0.0023034956765933,2.867343706602504,2.618723073358922,2.867343706602504,2.468280433962837,True,True,False,True,Nano,Micro,Nano,Baja influencia,3.5209,0.4082949528116877,0.11596323463082953
Seca,2021,Seca 2021,E08,SC-21-0140,,23.2,8.26,1.498347430124317,1.447556078280465,,0.6343325463481737,0.61282978477244,0.4452797675476891,0.423354779802668,0.4247270994669385,2.065629879851336,0.4233906748045566,1.431297333503162,3.589500188856879e-05,1.498347430124317,1.442878934594904,1.498347430124317,1.447556078280465,True,True,False,True,Micro,Micro,Micro,Alta influencia,16.373,0.6343325463481737,0.03874259734612922
Seca,2021,Seca 2021,E24,SC-21-0164,30.7,22.1,5.57,2.3350022570369884,2.2633018682297767,,0.6286801289170834,0.6093753896848726,0.2694594438010481,0.2692417649800689,0.2608505182236815,1.0812857775644955,0.2795710414967116,0.4526056486474124,0.0103292765166426,2.3350022570369884,2.3361095612711344,2.3350022570369884,2.2633018682297767,True,True,True,True,Micro,Micro,Micro,Alta influencia,6.5181,0.6286801289170834,0.09645143967062234
Seca,2021,Seca 2021,E27_5m,SC-21-0166,28.9,33.8,0.74,4.251015976664504,4.15260238654943,,0.5566811808373238,0.543793674919577,0.1300723508591561,0.130952502623647,0.1236155076060969,0.7034046274735453,0.135837718862507,0.1467234466362214,0.00488521623886,4.251015976664504,4.399073267185742,4.251015976664504,4.15260238654943,True,True,True,True,Pico,Pico,Pico,Baja influencia,1.4715,0.5566811808373238,0.3783086516053848
Seca,2021,Seca 2021,E28,SC-21-0167,30.3,24.8,3.84,2.108503731484168,1.953712947566777,,0.4660422790084838,0.4318288941189099,0.226255859372652,0.2210298573578707,0.223373238225077,0.8508976263034486,0.2308617585138373,0.3848553472949647,0.0098319011559666,2.108503731484168,1.933216787965384,2.108503731484168,1.953712947566777,True,True,True,True,Micro,Micro,Micro,Alta influencia,6.5523,0.46604227900848383,0.0711265172547783
Seca,2021,Seca 2021,E29,SC-21-0168,31.4,25.9,6.48,1.1804796912465054,1.1946981709722826,,0.5790355350781465,0.5860098227995385,0.4875209188204213,0.4905086799644344,0.4946113527570702,1.3440677384147917,0.5184483067313453,0.7650322033366451,0.0279396267669109,1.1804796912465054,1.1847884597330682,1.1804796912465054,1.1946981709722826,True,True,True,True,Micro,Micro,Micro,Baja influencia,18.4549,0.5790355350781465,0.031375706998040986
Seca,2021,Seca 2021,E31_sup,SC-21-0169,30.8,21.2,5.53,2.7483092489877534,2.6356536470774614,,0.6684232398373868,0.6410239861171431,0.2461698382753879,0.2432125278782138,0.2365537224656279,1.1174466465839534,0.2520547055282076,0.4490234067465665,0.0088421776499937,2.7483092489877534,2.709845270814904,2.7483092489877534,2.6356536470774614,True,True,True,True,Nano,Nano,Nano,Alta influencia,8.461541,0.6684232398373868,0.07899545010032887
Seca,2021,Seca 2021,E31_10m,SC-21-0170,28.1,34.7,1.61,1.9575462490191875,1.9731630154942024,,0.0775683445274276,0.0781871634814857,0.0427214927934494,0.0396252934337018,0.0415986360778297,0.2361969300499068,0.039631402920731,0.1586285855224791,6.109487029217019e-06,1.9575462490191875,1.879560746539864,1.9575462490191875,1.9731630154942024,True,True,True,True,Micro,Micro,Micro,Baja influencia,0.986503,0.07756834452742764,0.07862960835134575
Seca,2021,Seca 2021,E31_5m,SC-21-0171,28.5,33.3,0.45,2.2667692517550773,2.058559282106887,,0.172023175265735,0.1562222991628268,0.0773152859282779,0.0758891427226409,0.0767912535950509,0.2885526521085528,0.0806814132904199,0.1165294768428177,0.0047922705677789,2.2667692517550773,2.034376206262312,2.2667692517550773,2.058559282106887,True,True,True,True,Micro,Micro,Micro,Baja influencia,1.920167,0.17202317526573507,0.08958761152844262
Seca,2021,Seca 2021,E30,SC-21-0172,32.7,30.8,10.45,1.8536971993806564,1.7520906730516732,,1.107050806353973,1.0463701369647604,0.5910162096083325,0.597212320719831,0.5967388310606918,2.021070240127308,0.6232047685763336,0.9140194337733348,0.0259924478565025,1.8536971993806564,1.7534808906349493,1.8536971993806564,1.7520906730516732,True,True,True,True,Micro,Micro,Micro,Baja influencia,15.24317,1.107050806353973,0.07262602243194645
Seca,2021,Seca 2021,E07_sup,SC-21-0225,30.9,6.1,57.9,2.7092831197611367,3.692754039571118,,0.908440561415388,1.238204869918759,0.3112043764208332,0.3353066184886135,0.3367003458261278,4.687736974745619,0.335311280070843,3.779296413330232,4.661582229491767e-06,2.7092831197611367,3.677468363986085,2.7092831197611367,3.692754039571118,True,True,True,True,Nano,Pico,Nano,Alta influencia,3.782756,0.9084405614153881,0.24015309510192784
Seca,2021,Seca 2021,E09_sup,SC-21-0228,30.8,12.4,16.76,3.655874097633845,3.657810486452935,,1.4928623918604838,1.4936531089275484,0.4137816688453315,0.4083462263721539,0.397804183547031,2.081463022955111,0.4209090254811564,0.5886006310946271,0.0125627991090024,3.655874097633845,3.7547445972270896,3.655874097633845,3.657810486452935,True,True,True,True,Pico,Pico,Pico,Alta influencia,12.55027,1.4928623918604838,0.11895061953730747
