fecha,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
2002-06,-0.827,-0.79,-0.852,-0.825,-0.986,-0.936,-1.027,-0.858
2002-07,-1.146,-1.118,-1.167,-1.166,-1.157,-1.163,-1.166,-1.151
2002-08,-0.724,-0.707,-0.742,-0.736,-0.728,-0.748,-0.741,-0.729
2002-09,-0.784,-0.796,-0.773,-0.777,-0.768,-0.764,-0.767,-0.779
2002-10,-0.122,-0.125,-0.135,-0.13,-0.13,-0.133,-0.163,-0.125
2002-11,0.072,0.057,0.058,0.067,0.046,0.046,0.028,0.067
2002-12,-0.728,-0.698,-0.748,-0.726,-0.781,-0.792,-0.79,-0.746
2003-01,-0.046,-0.007,-0.084,-0.071,-0.137,-0.115,-0.181,-0.065
2003-02,-0.048,0.058,-0.105,-0.061,-0.222,-0.219,-0.297,-0.096
2003-03,0.564,0.565,0.592,0.593,0.43,0.529,0.378,0.56
2003-04,0.016,0.048,0.006,0.024,-0.078,-0.048,-0.13,-0.004
2003-05,0.229,0.235,0.209,0.224,0.212,0.192,0.201,0.219
2003-06,-0.793,-0.769,-0.807,-0.793,-0.85,-0.844,-0.876,-0.807
2003-07,-0.554,-0.555,-0.55,-0.54,-0.636,-0.601,-0.672,-0.564
2003-08,-0.798,-0.757,-0.834,-0.817,-0.845,-0.859,-0.866,-0.815
2003-09,-0.533,-0.497,-0.546,-0.54,-0.57,-0.566,-0.595,-0.541
2003-10,0.087,0.091,0.11,0.092,0.094,0.122,0.085,0.103
2003-11,0.428,0.401,0.444,0.44,0.41,0.446,0.372,0.437
2003-12,0.288,0.311,0.266,0.288,0.15,0.184,0.076,0.265
2004-01,-0.516,-0.467,-0.522,-0.51,-0.534,-0.552,-0.534,-0.53
2004-02,0.167,0.218,0.129,0.168,0.004,0.025,-0.044,0.127
2004-03,-0.576,-0.556,-0.586,-0.6,-0.495,-0.552,-0.506,-0.559
2004-04,-0.744,-0.733,-0.75,-0.743,-0.795,-0.782,-0.83,-0.751
2004-05,-0.902,-0.851,-0.946,-0.922,-1.036,-1.006,-1.086,-0.929
2004-06,-0.582,-0.57,-0.603,-0.594,-0.59,-0.608,-0.589,-0.591
2004-07,-0.515,-0.494,-0.532,-0.513,-0.637,-0.596,-0.699,-0.535
2004-08,-0.653,-0.604,-0.696,-0.679,-0.728,-0.718,-0.786,-0.673
2004-09,-0.495,-0.48,-0.504,-0.498,-0.538,-0.525,-0.567,-0.502
2004-10,-0.346,-0.318,-0.36,-0.351,-0.375,-0.377,-0.38,-0.356
2004-11,-0.177,-0.151,-0.217,-0.208,-0.15,-0.196,-0.161,-0.187
2004-12,-0.714,-0.711,-0.72,-0.724,-0.689,-0.709,-0.684,-0.709
2005-01,-0.504,-0.547,-0.466,-0.481,-0.522,-0.48,-0.554,-0.482
2005-02,-0.616,-0.644,-0.585,-0.584,-0.62,-0.612,-0.595,-0.614
2005-03,0.712,0.717,0.715,0.745,0.559,0.594,0.533,0.68
2005-04,0.43,0.429,0.44,0.441,0.425,0.428,0.452,0.429
2005-05,-0.017,-0.015,-0.034,-0.022,-0.057,-0.056,-0.073,-0.029
2005-06,0.566,0.565,0.579,0.581,0.592,0.567,0.599,0.568
2005-07,0.428,0.428,0.432,0.44,0.378,0.394,0.369,0.42
2005-08,-0.228,-0.233,-0.221,-0.212,-0.301,-0.264,-0.335,-0.235
2005-09,-0.333,-0.34,-0.333,-0.33,-0.35,-0.344,-0.357,-0.335
2005-10,-0.989,-0.99,-0.984,-0.977,-1.04,-1.015,-1.056,-0.996
2005-11,-0.408,-0.364,-0.457,-0.434,-0.512,-0.504,-0.558,-0.434
2005-12,-0.25,-0.235,-0.251,-0.234,-0.308,-0.295,-0.331,-0.264
2006-01,-0.151,-0.127,-0.15,-0.112,-0.318,-0.268,-0.36,-0.186
2006-02,-0.3,-0.339,-0.293,-0.295,-0.303,-0.293,-0.317,-0.293
2006-03,-0.396,-0.386,-0.419,-0.41,-0.33,-0.399,-0.302,-0.401
2006-04,-0.63,-0.611,-0.622,-0.633,-0.518,-0.577,-0.493,-0.619
2006-05,-0.154,-0.157,-0.15,-0.147,-0.214,-0.177,-0.227,-0.159
2006-06,-0.229,-0.273,-0.192,-0.197,-0.262,-0.224,-0.267,-0.217
2006-07,0.062,0.041,0.069,0.054,0.129,0.116,0.155,0.078
2006-08,0.213,0.188,0.23,0.223,0.241,0.24,0.263,0.223
2006-09,-0.158,-0.196,-0.121,-0.141,-0.091,-0.082,-0.077,-0.135
2006-10,-0.003,-0.011,0.008,-0.001,0.057,0.043,0.082,0.006
2006-11,-0.018,-0.045,0.012,-0.004,0.03,0.031,0.054,-0.003
2006-12,0.244,0.163,0.31,0.284,0.271,0.321,0.28,0.274
2007-01,-0.278,-0.32,-0.251,-0.283,-0.02,-0.116,0.023,-0.243
2007-02,0.16,0.15,0.167,0.159,0.206,0.187,0.225,0.167
2007-03,-0.092,-0.081,-0.11,-0.102,-0.117,-0.126,-0.117,-0.099
2007-04,-0.238,-0.192,-0.256,-0.25,-0.231,-0.262,-0.236,-0.247
2007-05,-0.543,-0.515,-0.551,-0.54,-0.597,-0.591,-0.612,-0.556
2007-06,0.092,0.086,0.101,0.108,0.011,0.058,-0.012,0.083
2007-07,-0.564,-0.543,-0.587,-0.576,-0.615,-0.61,-0.622,-0.576
2007-08,-0.56,-0.564,-0.55,-0.551,-0.572,-0.559,-0.575,-0.558
2007-09,-0.36,-0.341,-0.374,-0.362,-0.427,-0.409,-0.443,-0.374
2007-10,-0.131,-0.122,-0.137,-0.132,-0.153,-0.163,-0.162,-0.136
2007-11,-0.534,-0.477,-0.569,-0.56,-0.51,-0.563,-0.506,-0.551
2007-12,-0.32,-0.291,-0.339,-0.342,-0.283,-0.31,-0.259,-0.32
2008-01,-0.399,-0.418,-0.38,-0.41,-0.187,-0.271,-0.165,-0.363
2008-02,-0.107,-0.071,-0.122,-0.115,-0.118,-0.126,-0.123,-0.113
2008-03,-0.427,-0.336,-0.482,-0.465,-0.389,-0.462,-0.382,-0.452
2008-04,-0.585,-0.592,-0.579,-0.584,-0.554,-0.56,-0.542,-0.577
2008-05,-0.958,-0.999,-0.918,-0.916,-1.023,-0.975,-1.025,-0.957
2008-06,-0.35,-0.376,-0.336,-0.343,-0.295,-0.323,-0.288,-0.339
2008-07,-0.677,-0.667,-0.676,-0.663,-0.787,-0.732,-0.811,-0.694
2008-08,-0.709,-0.743,-0.681,-0.685,-0.73,-0.7,-0.73,-0.704
2008-09,-0.123,-0.132,-0.135,-0.123,-0.184,-0.168,-0.187,-0.136
2008-10,-0.256,-0.256,-0.254,-0.254,-0.248,-0.256,-0.237,-0.255
2008-11,-0.63,-0.622,-0.635,-0.627,-0.679,-0.668,-0.697,-0.638
2008-12,-0.595,-0.639,-0.567,-0.593,-0.481,-0.489,-0.474,-0.56
2009-01,-0.406,-0.445,-0.39,-0.413,-0.27,-0.319,-0.253,-0.38
2009-02,-0.651,-0.584,-0.661,-0.67,-0.593,-0.63,-0.595,-0.653
2009-03,-0.897,-0.911,-0.895,-0.917,-0.881,-0.869,-0.88,-0.874
2009-04,-0.568,-0.594,-0.555,-0.571,-0.458,-0.494,-0.425,-0.549
2009-05,-0.669,-0.673,-0.674,-0.673,-0.633,-0.66,-0.618,-0.668
2009-06,-0.413,-0.385,-0.43,-0.419,-0.477,-0.457,-0.498,-0.426
2009-07,-0.279,-0.279,-0.271,-0.28,-0.248,-0.255,-0.241,-0.27
2009-08,-0.212,-0.214,-0.215,-0.211,-0.214,-0.222,-0.207,-0.214
2009-09,0.033,0.008,0.043,0.026,0.105,0.09,0.123,0.053
2009-10,-0.093,-0.08,-0.106,-0.103,-0.078,-0.104,-0.085,-0.095
2009-11,0.045,0.022,0.062,0.055,0.072,0.075,0.068,0.055
2009-12,0.231,0.191,0.275,0.259,0.335,0.306,0.37,0.253
2010-01,-0.063,-0.023,-0.078,-0.073,-0.12,-0.109,-0.094,-0.069
2010-02,0.191,0.158,0.228,0.233,0.116,0.178,0.105,0.191
2010-03,0.794,0.788,0.819,0.836,0.641,0.725,0.602,0.77
2010-04,0.4,0.446,0.372,0.383,0.377,0.357,0.379,0.385
2010-05,0.118,0.14,0.107,0.111,0.112,0.108,0.096,0.112
2010-06,0.104,0.111,0.104,0.11,0.036,0.073,0.014,0.096
2010-07,-0.208,-0.211,-0.194,-0.183,-0.32,-0.262,-0.364,-0.22
2010-08,-0.361,-0.343,-0.371,-0.358,-0.411,-0.408,-0.432,-0.374
2010-09,-0.465,-0.433,-0.492,-0.475,-0.524,-0.526,-0.549,-0.483
2010-10,-0.117,-0.11,-0.124,-0.122,-0.131,-0.13,-0.13,-0.121
2010-11,-0.807,-0.819,-0.789,-0.795,-0.79,-0.785,-0.786,-0.799
2010-12,-0.659,-0.655,-0.648,-0.633,-0.801,-0.732,-0.846,-0.678
2011-01,0.135,0.058,0.209,0.187,0.15,0.209,0.168,0.16
2011-02,-0.006,-0.021,0.006,0.0,0.045,0.033,0.056,-0.001
2011-03,-0.252,-0.249,-0.25,-0.258,-0.235,-0.238,-0.209,-0.245
2011-04,-0.34,-0.329,-0.336,-0.328,-0.401,-0.371,-0.406,-0.35
2011-05,-0.394,-0.419,-0.378,-0.381,-0.4,-0.378,-0.382,-0.391
2011-06,0.391,0.35,0.414,0.412,0.386,0.402,0.368,0.396
2011-07,0.197,0.198,0.199,0.209,0.116,0.153,0.086,0.186
2011-08,0.287,0.297,0.278,0.29,0.215,0.241,0.191,0.275
2011-09,0.29,0.303,0.285,0.284,0.283,0.286,0.262,0.29
2011-10,-0.309,-0.305,-0.314,-0.309,-0.324,-0.326,-0.335,-0.314
2011-11,-0.017,-0.018,-0.01,-0.008,-0.086,-0.039,-0.097,-0.021
2011-12,-0.086,-0.085,-0.082,-0.083,-0.175,-0.108,-0.202,-0.09
2012-01,-0.129,-0.121,-0.135,-0.155,0.035,-0.034,0.052,-0.11
2012-02,-0.478,-0.513,-0.478,-0.482,-0.451,-0.465,-0.419,-0.468
2012-03,-0.905,-0.877,-0.93,-0.93,-0.849,-0.903,-0.816,-0.908
2012-04,0.401,0.39,0.41,0.416,0.332,0.373,0.273,0.397
2012-05,0.704,0.688,0.728,0.717,0.712,0.729,0.699,0.714
2012-06,0.374,0.33,0.394,0.373,0.478,0.455,0.503,0.398
2012-07,0.176,0.181,0.15,0.157,0.185,0.16,0.194,0.172
2012-08,-0.088,-0.099,-0.077,-0.086,-0.068,-0.061,-0.062,-0.079
2012-09,-0.031,-0.075,0.002,-0.011,0.035,0.037,0.051,-0.013
2012-10,0.04,0.026,0.055,0.053,0.024,0.041,0.031,0.043
2012-11,0.004,-0.022,0.011,0.003,0.083,0.064,0.102,0.015
2012-12,0.004,-0.034,0.029,0.013,0.063,0.062,0.06,0.019
2013-01,-0.124,-0.167,-0.126,-0.142,-0.107,-0.093,-0.112,-0.098
2013-02,-0.077,-0.101,-0.067,-0.082,-0.091,-0.046,-0.102,-0.066
2013-03,-0.245,-0.24,-0.246,-0.226,-0.361,-0.322,-0.386,-0.267
2013-04,0.232,0.23,0.226,0.226,0.233,0.229,0.241,0.23
2013-05,0.1,0.095,0.099,0.103,0.08,0.088,0.06,0.097
2013-06,-0.143,-0.133,-0.147,-0.144,-0.154,-0.151,-0.153,-0.146
2013-07,0.125,0.127,0.123,0.118,0.171,0.156,0.176,0.13
2013-08,0.003,0.006,-0.004,0.004,-0.045,-0.029,-0.057,-0.006
2013-09,-0.049,-0.044,-0.052,-0.046,-0.063,-0.062,-0.067,-0.055
2013-10,0.166,0.142,0.181,0.166,0.23,0.221,0.267,0.18
2013-11,0.225,0.223,0.238,0.231,0.235,0.252,0.252,0.232
2013-12,0.351,0.396,0.301,0.321,0.355,0.299,0.37,0.331
2014-01,0.306,0.293,0.306,0.312,0.289,0.318,0.302,0.301
2014-02,0.019,0.018,0.036,0.009,0.216,0.133,0.298,0.044
2014-03,0.18,0.143,0.2,0.198,0.141,0.172,0.141,0.183
