mes,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
1,27.77,27.753,27.759,27.713,28.096,27.964,28.182,27.822
2,27.369,27.323,27.371,27.322,27.687,27.567,27.774,27.426
3,27.181,27.113,27.201,27.157,27.424,27.353,27.503,27.235
4,27.801,27.739,27.831,27.8,27.974,27.929,28.047,27.838
5,28.93,28.908,28.935,28.925,29.008,28.978,29.043,28.943
6,29.517,29.503,29.521,29.511,29.579,29.555,29.606,29.528
7,29.423,29.413,29.42,29.41,29.513,29.472,29.549,29.436
8,29.447,29.43,29.456,29.445,29.509,29.492,29.534,29.458
9,29.769,29.751,29.781,29.772,29.802,29.802,29.82,29.779
10,29.561,29.558,29.565,29.561,29.566,29.572,29.571,29.564
11,29.321,29.316,29.322,29.319,29.34,29.336,29.354,29.324
12,28.741,28.736,28.731,28.713,28.896,28.821,28.945,28.761
