mes,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
1,0.419,0.414,0.421,0.427,0.381,0.402,0.382,0.412
2,0.382,0.38,0.388,0.391,0.368,0.379,0.367,0.379
3,0.573,0.569,0.58,0.586,0.541,0.559,0.535,0.566
4,0.44,0.433,0.443,0.444,0.421,0.435,0.421,0.438
5,0.578,0.579,0.578,0.577,0.589,0.585,0.589,0.579
6,0.475,0.464,0.486,0.48,0.503,0.5,0.511,0.482
7,0.531,0.525,0.537,0.533,0.558,0.549,0.571,0.535
8,0.539,0.534,0.543,0.54,0.551,0.551,0.56,0.541
9,0.399,0.393,0.403,0.399,0.421,0.414,0.43,0.403
10,0.359,0.351,0.363,0.36,0.37,0.372,0.375,0.362
11,0.349,0.341,0.358,0.354,0.361,0.364,0.369,0.353
12,0.444,0.444,0.445,0.445,0.447,0.445,0.455,0.443
