fecha,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
2002-06,-1.74,-1.702,-1.752,-1.717,-1.96,-1.87,-2.009,-1.781
2002-07,-2.157,-2.13,-2.172,-2.185,-2.075,-2.118,-2.044,-2.15
2002-08,-1.343,-1.325,-1.365,-1.362,-1.322,-1.358,-1.323,-1.346
2002-09,-1.967,-2.025,-1.92,-1.948,-1.825,-1.845,-1.784,-1.935
2002-10,-0.34,-0.355,-0.373,-0.361,-0.352,-0.357,-0.434,-0.345
2002-11,0.206,0.168,0.162,0.188,0.128,0.127,0.076,0.191
2002-12,-1.64,-1.574,-1.682,-1.634,-1.748,-1.78,-1.735,-1.684
2003-01,-0.111,-0.017,-0.199,-0.165,-0.359,-0.286,-0.474,-0.157
2003-02,-0.126,0.153,-0.269,-0.157,-0.602,-0.578,-0.81,-0.252
2003-03,0.984,0.994,1.021,1.012,0.795,0.946,0.706,0.989
2003-04,0.037,0.112,0.013,0.054,-0.184,-0.111,-0.31,-0.008
2003-05,0.396,0.406,0.362,0.389,0.361,0.329,0.341,0.378
2003-06,-1.668,-1.656,-1.659,-1.651,-1.689,-1.687,-1.713,-1.675
2003-07,-1.044,-1.057,-1.023,-1.012,-1.141,-1.094,-1.178,-1.053
2003-08,-1.48,-1.419,-1.535,-1.513,-1.533,-1.56,-1.546,-1.505
2003-09,-1.336,-1.266,-1.356,-1.352,-1.353,-1.367,-1.383,-1.344
2003-10,0.241,0.259,0.304,0.254,0.254,0.327,0.227,0.284
2003-11,1.228,1.177,1.241,1.244,1.136,1.224,1.01,1.237
2003-12,0.648,0.701,0.598,0.648,0.337,0.413,0.167,0.599
2004-01,-1.231,-1.129,-1.24,-1.195,-1.402,-1.373,-1.397,-1.286
2004-02,0.436,0.573,0.332,0.429,0.01,0.066,-0.121,0.335
2004-03,-1.004,-0.977,-1.011,-1.024,-0.915,-0.987,-0.946,-0.988
2004-04,-1.692,-1.693,-1.693,-1.673,-1.889,-1.798,-1.972,-1.713
2004-05,-1.561,-1.469,-1.635,-1.598,-1.759,-1.72,-1.844,-1.605
2004-06,-1.224,-1.227,-1.239,-1.235,-1.172,-1.214,-1.153,-1.227
2004-07,-0.97,-0.942,-0.99,-0.961,-1.141,-1.086,-1.225,-1.0
2004-08,-1.212,-1.131,-1.282,-1.257,-1.321,-1.304,-1.403,-1.243
2004-09,-1.241,-1.221,-1.25,-1.249,-1.278,-1.267,-1.318,-1.246
2004-10,-0.963,-0.905,-0.991,-0.975,-1.013,-1.012,-1.015,-0.983
2004-11,-0.508,-0.443,-0.606,-0.589,-0.415,-0.538,-0.435,-0.529
2004-12,-1.609,-1.602,-1.619,-1.629,-1.541,-1.592,-1.502,-1.599
2005-01,-1.203,-1.321,-1.106,-1.126,-1.371,-1.194,-1.448,-1.17
2005-02,-1.612,-1.693,-1.508,-1.494,-1.682,-1.615,-1.623,-1.62
2005-03,1.242,1.261,1.234,1.272,1.034,1.062,0.997,1.202
